index_firm,CR-Last0,CR-Last1,CR-Last2,CR-Last3,CR-Last4,CR-Last5,CR-Last6,CR-Last7,QR-Last0,QR-Last1,QR-Last2,QR-Last3,QR-Last4,QR-Last5,QR-Last6,QR-Last7,NWC2TA-Last0,NWC2TA-Last1,NWC2TA-Last2,NWC2TA-Last3,NWC2TA-Last4,NWC2TA-Last5,NWC2TA-Last6,NWC2TA-Last7,CA2NA-Last0,CA2NA-Last1,CA2NA-Last2,CA2NA-Last3,CA2NA-Last4,CA2NA-Last5,CA2NA-Last6,CA2NA-Last7,ROA-Last0,ROA-Last1,ROA-Last2,ROA-Last3,ROA-Last4,ROA-Last5,ROA-Last6,ROA-Last7,NPM-Last0,NPM-Last1,NPM-Last2,NPM-Last3,NPM-Last4,NPM-Last5,NPM-Last6,NPM-Last7,ROE-Last0,ROE-Last1,ROE-Last2,ROE-Last3,ROE-Last4,ROE-Last5,ROE-Last6,ROE-Last7,TAT-Last0,TAT-Last1,TAT-Last2,TAT-Last3,TAT-Last4,TAT-Last5,TAT-Last6,TAT-Last7,R2NWC-Last0,R2NWC-Last1,R2NWC-Last2,R2NWC-Last3,R2NWC-Last4,R2NWC-Last5,R2NWC-Last6,R2NWC-Last7,RE2S-Last0,RE2S-Last1,RE2S-Last2,RE2S-Last3,RE2S-Last4,RE2S-Last5,RE2S-Last6,RE2S-Last7,S2NW-Last0,S2NW-Last1,S2NW-Last2,S2NW-Last3,S2NW-Last4,S2NW-Last5,S2NW-Last6,S2NW-Last7,D2TAR-Last0,D2TAR-Last1,D2TAR-Last2,D2TAR-Last3,D2TAR-Last4,D2TAR-Last5,D2TAR-Last6,D2TAR-Last7,D2E-Last0,D2E-Last1,D2E-Last2,D2E-Last3,D2E-Last4,D2E-Last5,D2E-Last6,D2E-Last7,TL2NW-Last0,TL2NW-Last1,TL2NW-Last2,TL2NW-Last3,TL2NW-Last4,TL2NW-Last5,TL2NW-Last6,TL2NW-Last7,emscore-Last0,emscore-Last1,emscore-Last2,emscore-Last3,emscore-Last4,emscore-Last5,emscore-Last6,emscore-Last7,class
0,0.0150518504258287,0.0178958813482882,0.00694852488342994,0.0290675556642856,0.0196881251442132,0,0,0,0.0245585893203651,0.0251968551975809,0.0203192624305928,0.0333007703028478,0.0260319804912498,0,0,0,0.243303220784231,0.283579992376329,0.208495621641157,0.284389776729,0.241949211364826,0,0,0,0,0,0,0,0,0,0,0,0.74215651812561,0.604214388005201,1,0.54827701135966,0,0.345283007175301,0,0,0.986068418471656,0.887638580773493,1,0.873346715915422,0,0.364219863005678,0,0,0.675695573590213,0.0958941446146209,0,0.770662989097558,1,0.968348091118076,0.149077934102917,0.481504584434983,0,0,0.0363079079680481,0.0236063995403669,0.0237780620506585,0,0,0,0.183070629817607,0.255418770789022,0.0492222564301066,0.0747007691023354,0.146395810018631,0.0473119472415749,0.55790541989776,0.234271383813473,0,0,0,0,0,0,0,0,1,0.472112050423826,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0.549097806429945,0.00194091967728342,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0.0492685564914841,0.0597831776373942,0.0791836456869813,0.232081725252867,0.147635352285644,0.152124863797956,0.0880672948493822,0.0320428396080392,0.0654399709833377,0.0843852413820929,0.100151989982645,0.280831016750815,0.189164862924832,0.178626986276829,0.115570385478839,0.0419272049395015,0.328554736127326,0.277680037104302,0.389356085110443,0.546502272962566,0.582309310104744,0.574018567272529,0.386190803338795,0.323790736868238,1,1,1,0.821444493169702,0.870500449069179,0.655920097046134,0.580716578065932,0.670731799974358,0,0.317838745946822,0,0.67114627549716,0.262636017342633,0.290149724114539,0.502198235361092,0.951284935330388,0.583677444360605,0.50195813974915,0,0.943793295153934,0.0733300855728429,0.597435399955999,0.643987482331372,1,1,0.702948152857518,0,0.343608699768471,0.813070255733299,0.167734941330164,0,0.279945782364333,0.230750445588498,0.179051478306076,0.150306465488646,0.356664763898611,0.0593728741648119,0.100503596131441,0.199847349990101,0.424459839239681,0.917015971650194,0.0254746051963144,0.566723294538059,0.517787639558136,0.0696975056777121,0.444458827992152,0.612432848074726,0.059666814063948,0.749101314311641,0.678012067966508,0.610412880167868,0.873550640067626,0.759431029479924,0.87814619622258,0.824504779816886,0.856357063259638,1,0.507419018465066,0.359628910194527,0.181373464404459,0.0695406726546352,0.0984357198671611,0.312361407873367,0.484010116715927,0.94773017513247,0.911426944065004,0.822903360185579,0.588378333828903,0.571219884014294,0.604098810144607,0.788639018077524,0.845158812247344,0.879734922079421,0.0227308985419364,0.767569141056533,0.541905617953174,0.169730337281564,0.43568812378127,0.577333920864671,0.133953208865489,1,0.529749677204971,0.39983943599719,0.128193212607061,0.155811155053369,0.226003933508454,0.335218150946517,0.536937406855773,0.0558737683024371,0.0585285164636227,0.0806761764718262,0.186512734014242,0.160252128120697,0.162356404384318,0.0740077793727261,0.0227503357670499,1
2,0,0,0,0.037238583208136,0.0580131416194094,0.129604939147517,0.242519193829566,0.255222496205909,0,0.0190382279173394,0.00192619314555789,0.00382722063430552,0.0140417991120057,0.055274081110014,0.31281604838883,0.169796316792638,0,0,0,0.148323904453109,0.16843725679802,0.31631865959516,0.29472936485898,0.367342388864996,0.569025651337062,0.58817469296749,0.577057601004198,0.372649243950338,0.399055657091643,0.684169527091999,0.720577483475768,0.80731060371453,0.361446415631018,0.0151627464142484,0,0.183414782082827,0.146418416658025,0.391934261931955,0,0,0.342967088908957,0,0,0.200913553888652,0.235409733190288,0.707376707275612,0,0,0.992768823830073,0.734741041103968,1,0,0.185796109154287,0.0860111801810836,0,0.00487299753452653,0.259791586796415,0.251646714504133,0.260884038315059,0.137688262469057,0.252187160087345,0.351377566888311,0.344591563639843,0.000283095209575909,0.362158217783347,0.512287968662957,0.297750140811409,0.258951378437041,0.641358547843243,0.190925605225553,1,0.174631008614696,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,0.275629832556745,0.491664379563506,0.120155061221943,0.757406898505428,1,0.495144947505746,1,0.411178945745917,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
3,0,0,0,0.0230904129551334,0,0.0154748032095774,0.0212449081809697,0.0100100205553272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0785663139950885,0.0780267691132377,0,0.759136565907394,0.684721241196782,1,1,0.456202705121048,0.187192412466194,0.172197375398263,0.116933844628995,0.483448641379789,0.621025200971244,0.409151592013822,0.3982103159025,0.23949290794282,0.434677631221962,0.319022699848314,0.649294782691579,0.752661946599087,0.752386696738667,0.8859887701697,0.643265004887332,0.514940175469965,0.538847635286054,0.456533787986504,0.962007836592557,0.664968758720056,0.423334630700953,0.421357617729114,0.924158510959613,0.52762428803585,0.416438312152893,0.214612741560958,0.225344240944113,0.244625192383966,0.19673820656795,0.295246336818005,0.248273425073215,0.0928151242855619,0.182339129106626,0.150840216347198,0.923877479711357,0.0348109928533929,0.390869163405593,0.365148563334031,0.0553324915628209,0.382373035078546,0.524243069088153,0.0214163756430065,0.726612900103486,0.647229987831283,0.535062386007769,0.759505799956121,0.689173508999676,0.726445263263477,0.55874799388775,0.711983497534127,0,1,1,1,1,0.296060666834716,0.366911532207194,0.239263351097153,1,1,1,1,1,1,0.857515840888973,0.901777007131201,0.914770805584392,0.0389766563538253,0.636088691664281,0.23741108411813,0.0507666864282367,0.185727655347907,0.284574103876332,0.024335178058291,0,1,1,1,1,1,0.448530509320673,0.661060037196308,0,0,0,0,0,0,0.00746213137121085,0,1
4,0.117311066132449,0.25525475663694,0.162174231446387,0.140102548983345,0.143226875295692,0.367785666232067,0.00124362947965014,0,0.0671349101106487,0.165441250273797,0.0526888614509805,0.0293971384621335,0.0510661503737316,0.180075667848185,0.00418898853025078,0.0157881994908419,0.515004317285503,0.579578309350142,0.619714028157257,0.691425606539488,0.594626436619706,0.609587265810472,0.0972425795135758,0,0.110951814725633,0.168480160919083,0.303125767358853,0.173565241556289,0.119168748542682,0.0278027734383056,0.216656094492867,0.295345597430335,0,0.669578521881881,0.615913080144926,0.310688428012484,0.900627804772868,0.803754756377447,0.911528933524271,0.974304552378909,0.0681069987369429,0.383087016419616,0.467077403844444,0.216494031494124,0.210572507210318,0.245570370943813,0.508387633466742,0.874540267511533,0,0.437129937359415,0.508804102573716,0.0375888493667929,0.932238450387625,0.754884101361354,0.00458019435395726,0.0964666365802694,0.797534624832032,1,0.813667419934613,0.777578386382746,0.786741019032586,0.933196942968707,0.712534530907418,0.910784013523479,1,0.655965341081852,0.765345921300012,0.204382845921323,0.741634537734576,0.133613872833093,0,0,0.0238696042789327,0.03811265916616,0.00869677832891691,0.00723917637828325,0.00306799927225729,0.000199448754504185,0,0,0.42019469971581,0.917994993595847,0.461008643313837,0.439639430545059,0.460823932420948,0.363633090392425,0.970537221988142,0.950327620254806,0.160633650103078,0.135070148663695,0.227588522098264,0.240247044151808,0.184700850103685,0,0.649696031576434,0.75777698722943,0.0838133119101884,0.414214249301144,0.695653812481456,0.352903003719224,0.428846560919522,0.134718111891057,0,0.393567321287834,0.0278136024282427,0.0275738081253072,0.0605137962303388,0.0569549167609375,0.0415490116819066,0,0.298153342527572,0.514497780122427,0.39828739728177,0.574794984985487,0.428513322876411,0.442970868431126,0.475943299779993,1,0.0850536017782664,0.0252432356577999,1
5,0,0,0,0.00300310079873997,0,0,0.0179132252568563,0.0340605746976297,0.00766384506712367,0.000970970571339787,0.0214352419623699,0.0217200696925719,0.00653704028577323,0.00441803962682516,0.0493261646864406,0.00936930565064022,0,0,0,0,0,0,0.047028186996711,0.122274700640158,1,0.669230390014935,0.764260176339298,0.934641774287077,0.427746045811376,0.382138206578648,0.563394918184511,1,0,0.161434473641479,0.498975588367151,0,0,0,0.916572370210456,0,0,0,0.352821879219628,0.0272238708883857,0,0,0.908796438866835,0,0.832370878894993,0.570539296785839,0.138563711606906,0.214022796598695,0.325950893203418,0.109957963191884,0.0222827902223487,0.223054636029161,0,0,0.0289071276411506,0.251389295803839,0.000854519243561348,0,0.204437352439714,0,0.884191446937003,0.607638596964308,0.318749400721758,0.587767464299632,0.259028206172137,0.0908423017016824,0.375239301635689,0.179783178729491,0,0,0,0.00997163003768186,0,0,0.144644399407021,0,0.466805183878725,0.234773995238207,0.235603196101723,0.69795805710262,0.222185747545182,0.131148406142965,0.307311416629787,0,1,1,1,1,0.994567770519674,0.980697340676033,0.869033126885387,1,0.732775334953487,0.830217468871046,0.405950595721507,0.708903830585779,0.248638852074734,0.0620596045490309,0.309697862858129,0.250822291938253,1,1,1,1,0.980291192199656,0.937252126568345,0.655405629085113,1,0,0,0,0,0,0,0.013650965416723,0,1
6,1,1,0.969826776722434,0.308688604587039,0.0371335504101838,0.649016217052261,0.753568872006427,0.491184877578308,0.679093467333526,0.647610565712588,0.57899287373937,0.182678452888144,0.0239196656864319,0.336773737434922,0.398592608737335,0.277095314526019,0.941763924062547,0.92266945652818,0.87290326916916,0.855365160431959,0.553110633778133,0.757391411435347,0.772727008674188,0.686470104493409,0.264736022686456,0.293942498748624,0.290440331099575,0.241240005621934,0.250490718498551,0.288079133145821,0.917349688741736,0.0153987311836285,1,1,0.654714521779593,1,0.214051389700275,0.830964692678378,1,1,1,0.971116068077703,0.652638173855617,1,0.457480724906673,0.937462731509466,0.828510332111586,1,0.12096199942199,0.988926277203822,0.790034748786421,0.967763377096639,0.400502175518701,0.989949045284877,0.938356015873772,0.56329669679138,0.856164982091124,0.604958485672739,0.517684071225244,0.61239078201172,0.475285751045135,0.575743433851619,0.605567374080648,0.583329472789506,0.425681783855859,0.277270928072128,0.518450853792605,0.614883136357677,0.712381323454183,0.234521439067548,0.596815837937439,0.0376073673191775,0.88133097024682,0.937394596656243,0.817435678484701,0.965365242504247,0.959124016997303,0.954888817743574,0.968547530795607,0.956692162144556,0.411786434277808,0.293772561869814,0.324149300871,0.349746830148631,0.362344084687624,0.265431801480484,0.62136396638074,0.642959226499027,0,0,0,0.151017240292398,0.160921280762931,0,0,0.025651988785207,0.538907903491454,0.132644943445262,0.223958445573951,0.490828562274587,0.558814681836606,0.141569696164518,0.564143103185509,0.0468057566828029,0,0,0,0.0432063375904925,0.0449280588832954,0,0.773165386923922,0.836894211307668,1,1,1,0.264533057972962,0.0521874334993721,1,1,0.867007094864479,0
7,0.120346668660389,0.148034346988558,0.182088324277985,0.0603463087182412,0.00421410994535459,0.0891544916120336,0.141967818125956,0.109859648769003,0,0,0,0,0,0,0,0,0.501140760721399,0.605221024709019,0.530160892692367,0.514054166652196,0.25094717367563,0.374282070692036,0.531446167144398,0.459271918858677,1,0.98985393684791,0.99253991369842,0.86832728541886,1,1,0.987515572819424,0.0476100056955738,0.457446368048397,0.873041665420341,0.293449164655616,0.647473935981574,0.113832048446884,0.752799164806751,0.586191949886316,0.788547566691182,0.639308079065865,0.90685925439049,0.465031936803516,0.795579269963692,0.289169001718459,0.904698767129127,0.694375803785466,0.852952704153191,0.0161880567858653,0.981420890740833,0.679256919416099,0.905500648941495,0.232232868655712,0.987937805665098,0.890219094572735,0.559853152493834,0.177957622760212,0.249097525796613,0.102647600793586,0.202957521227143,0,0.153576242780591,0.162652337274908,0.43146201574244,0.399999601017348,0.276591098090735,0.473544574164637,0.623116847553211,0.658703715881525,0.228279015603837,0.594096764131883,0.0446988828274553,0.853611953602455,0.869085047414868,0.812644752512846,0.898073915261696,0.996914563210424,0.961203679497884,0.96826679898641,0.914282472787596,0.331942739594861,0.440438915845501,0.281405390461829,0.48688699403171,0.211632648794644,0.221948549706437,0.621283485499885,0.849981168344302,0.826758278566486,0.86870206234073,0.921871636294614,0.92520716846939,0.943344799546728,0.887590325633993,0.508116256505049,0.52943999805468,0.642548422971838,0.235041555645457,0.454613960247383,0.66178963389905,0.755240613776026,0.229657798159491,0.606597558900245,0.0747350102513032,0.500031474627909,0.6484889244637,0.782138906645223,0.758475565269947,0.803310211547654,0.705091398381143,0.96490442410002,0.994999206604244,0.0923036635997264,0.0757338263588893,0.0764120685419448,0.018711942224335,0.00209411037747812,0.0643980060544497,0.248008774962547,0.244375599975481,0
8,0.123817774349155,0.242885289637224,0.145167685581496,0.288220140970867,0.162739548702895,0.160881597457822,0.140079519176745,0.0294844893870508,0.159253456358561,0.287678789113107,0.188098707334141,0.336768090123721,0.203710179332623,0.18719630823491,0.166658222779095,0.0393949794988906,0.617881564805619,0.645516839318299,0.568145002330249,0.623532092930416,0.630164100549353,0.576687263680026,0.549080835834216,0.294673616299811,0.91471020992839,0.393675304357987,0.637737665846146,0.790821874192098,0.971362398100517,0.571613305528385,0.410306637299094,0.72997655274778,0.875349688358801,0.839111878513632,0.981327559275804,0.989086578362008,0.964499578826168,0.800783243062652,0.792724554579783,0.709045555198577,1,1,1,1,1,0.958159117010746,0.931575927535331,0.887742388940676,0.970791652399828,0.667698555822305,0.431476195496788,0.476768022385476,0.92823899002102,0.455986667770101,0.291350841729447,0.143866884533703,0.335433846462968,0.390996515060482,0.405991946385847,0.368311303553255,0.329175362242598,0.227715353575807,0.297474701435926,0.367888681860217,0.940056424729004,0.0437689265063759,0.484235658492673,0.488274263567951,0.0777275865112625,0.466393945285391,0.584005218008721,0.0672941725010386,0.925392121415945,0.91868595056367,0.871204938551057,0.926071602028149,0.893367054373203,0.907341056591418,0.805790220590449,0.850191714322468,0.580231288034677,0.263105460216746,0.394294319478037,0.195489703170707,0.275209700656014,0.149578377935337,0.231277310299511,0.424622520457477,0.481865411716781,0.294338020191202,0.481814012110383,0.427284798384318,0.469455594631995,0.457689337534934,0.499583674136829,0.840265594367606,0.958937824729836,0.0452916632907341,0.670584219584776,0.46541170065374,0.153286092026816,0.415401816653961,0.438857082065691,0.16060090717848,0.553280535413469,0.0436695766396174,0.117631446957987,0.0712772834812078,0.109204616069115,0.139046047176379,0.118879508292334,0.527746537958184,0.220456530610289,0.352913288379035,0.215470954506326,0.271365348489354,0.214212782517417,0.219086059600874,0.160601384370186,0.0206352267109167,0
9,0.157857449530832,0.419082272955982,0.694781170501806,0.532748760254736,0.524130288456487,1,1,0.797864568013643,0.22303346410311,0.447514295795307,0.708991324646609,0.551460609913957,0.541061618254352,1,1,0.810258739655206,0.508139575557112,0.581352824217142,0.768636065636236,0.815638815973499,0.694959538266331,0.797323029351618,0.86566772491839,0.591483898780327,0.0510386854800625,0.070716466658907,0.136905137450461,0.0701941736748821,0.0422778471312542,0.05510289961616,0.0723806618241339,0.175753634892796,0.992725080060482,0.561768567112296,0.870654398875177,0.65548082713455,0.356122845486739,0.528627169301693,0.757373367800566,0.622010435929221,0.293390946491187,0.715062919158722,0.738048471610057,0.635662988007444,0.310486923482631,0.362958629826344,0.521234499366976,0.990562990199479,0.0760055619919833,0.378936149303469,0.722587586884056,0.301900178611703,0.604796076978986,0.362767198425709,0.25365267868656,0.618962643289166,0.0662001708064556,0.60380255699528,0,0.00263306819662859,0,0,0,0,0.645361014130655,0.0354972832468924,0.226679649060055,0.0675713978510096,0.211060769433554,0.0469010222724147,0.246882752284132,0.573385857443937,0.0623862888363787,0.0731333925373303,0.0292823259685316,0.021073579510453,0.0317153234731642,0.0204083612890033,0.0333683203933853,0.329284546934643,0.0505390832250089,0.805907240322013,0.0424516033390202,0.0387500552922672,0.0127225821076556,0.012156455143795,0.0246766745665654,0,0.466499260776256,0.317068490730483,0.300564206244762,0.274579435346988,0.245796255351315,0.254457908062318,0.270342946034012,0.425088791686195,0.110181621520381,0.492686733777231,0.635554751820828,0.323589625830253,0.405292111799862,0.143045169499104,0.295443841122445,0.752146717722839,0.115606959510065,0.0777476572372992,0.0858733004215339,0.0674183503768674,0.0587019617151455,0.056704015164497,0.0782263116325843,0.200296791185152,0.171655425339526,0.369272933672435,0.373538667852186,0.423899673638571,0.411059098845998,0.388300085127793,0.379906844201591,0.223740755728392,0
